Player No.,Team,Game,MIN,PTS,FG,FG_PCT,3PT,3P%,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Efficiency
20,Blue,Blue vs White,0,4,0,0.4,0,0.0,0,0.0,4,4,8,1,3,0,3,2,11
30,Blue,Blue vs White,0,6,0,0.5,0,0.0,0,0.0,2,6,8,0,0,2,3,3,10
31,Blue,Blue vs White,0,0,0,0.0,0,0.0,0,0.0,1,0,1,1,0,0,2,0,0
1,Blue,Blue vs White,0,1,0,0.0,0,0.0,2,0.5,1,1,2,0,1,0,2,4,-2
4,Blue,Blue vs White,0,6,0,0.2,0,0.25,4,0.75,0,2,3,1,0,0,0,2,8
10,Blue,Blue vs White,0,2,0,1.0,0,0.0,0,0.0,0,0,0,1,0,1,2,5,-3
16,Blue,Blue vs White,0,9,0,0.25,0,0.14,0,0.0,0,2,2,0,0,0,6,3,2
10,White,Blue vs White,0,2,0,0.17,0,0.0,0,0.0,2,5,7,0,3,0,1,1,10
8,White,Blue vs White,0,9,0,0.6,0,0.0,6,0.67,0,2,2,0,0,0,0,2,9
11,White,Blue vs White,0,6,0,0.29,0,0.0,5,0.4,1,3,4,1,2,0,1,0,12
111,White,Blue vs White,0,14,0,0.5,0,0.5,4,1.0,0,1,1,0,2,0,1,0,16
9,White,Blue vs White,0,4,0,0.33,0,0.0,4,0.0,3,2,5,0,1,0,1,2,7
0,White,Blue vs White,0,2,0,0.0,0,0.0,2,1.0,2,3,5,0,0,0,0,2,5
15,White,Blue vs White,0,2,0,0.25,0,0.0,4,0.0,2,0,0,0,1,0,2,4,-3
1,Beige,White vs Beige,0,10,0,0.42,0,0.0,4,0.5,4,8,12,1,1,0,7,2,15
11,Beige,White vs Beige,0,17,0,0.45,0,0.25,5,0.6,3,4,7,3,4,0,3,1,27
15,Beige,White vs Beige,0,10,0,0.44,0,0.0,0,0.0,1,10,11,5,1,0,0,4,23
22,Beige,White vs Beige,0,4,0,0.28,0,0.0,0,0.0,3,5,8,1,0,0,1,2,10
14,Beige,White vs Beige,0,3,0,0.14,0,0.25,2,0.0,4,5,9,0,0,0,4,2,6
8,White,White vs Beige,0,5,0,0.15,0,0.0,4,0.25,0,3,3,2,1,0,1,2,8
15,White,White vs Beige,0,5,0,0.4,0,0.0,2,0.5,1,3,4,1,3,0,4,0,9
1,White,White vs Beige,0,12,0,0.38,0,0.0,1,0.0,3,3,6,1,4,0,2,0,21
11,White,White vs Beige,0,2,0,0.2,0,0.0,2,0.0,6,3,9,0,1,0,2,3,7
10,White,White vs Beige,0,10,0,0.5,0,0.0,6,0.0,4,3,7,0,1,0,1,4,13
0,White,White vs Beige,0,2,0,0.33,0,0.0,0,0.0,0,2,2,0,0,0,0,0,4
7,Black,Black vs White,0,18,0,0.4,0,0.67,1,0.0,0,6,6,0,1,0,1,1,23
25,Black,Black vs White,0,11,0,0.5,0,0.25,4,0.5,4,5,9,1,2,0,3,2,18
0,Black,Black vs White,0,6,0,0.0,0,0.5,0,0.0,1,2,3,0,2,0,0,1,10
28,Black,Black vs White,0,10,0,0.0,0,0.0,6,0.33,2,3,5,2,0,0,2,0,15
4,Black,Black vs White,0,9,0,0.2,0,0.5,2,0.5,0,1,1,2,4,1,0,1,16
3,Black,Black vs White,0,0,0,0.0,0,0.0,0,0.0,2,0,2,1,2,0,1,1,3
15,Black,Black vs White,0,2,0,0.25,0,0.0,0,0.0,1,1,2,0,0,0,0,3,1
10,White,Black vs White,0,11,0,0.5,0,0.0,4,0.25,6,2,8,0,2,0,4,1,16
8,White,Black vs White,0,3,0,0.14,0,0.0,2,0.5,0,2,2,0,1,0,2,1,3
11,White,Black vs White,0,9,0,0.6,0,0.0,4,0.5,0,4,4,0,0,0,2,1,10
